tmdb_id,title,release_year,runtime_minutes,genres,vote_average,vote_count,tmdb_url
13477,When in Rome,2010,91,Comedy|Fantasy|Romance,5.9,1244,https://www.themoviedb.org/movie/13477
11157,She-Devil,1989,99,Comedy,5.9,415,https://www.themoviedb.org/movie/11157
464504,A Madea Family Funeral,2019,109,Comedy,5.9,489,https://www.themoviedb.org/movie/464504
24056,The Tournament,2009,95,Horror|Action|Thriller,5.944,650,https://www.themoviedb.org/movie/24056
970450,Werewolves,2024,93,Action|Horror|Thriller,5.943,447,https://www.themoviedb.org/movie/970450
174323,G.B.F.,2014,93,Comedy|Drama,5.943,398,https://www.themoviedb.org/movie/174323
12572,"New York, I Love You",2008,103,Comedy|Drama|Romance,5.943,567,https://www.themoviedb.org/movie/12572
228973,Backcountry,2015,92,Horror|Thriller|Drama,5.942,702,https://www.themoviedb.org/movie/228973
39053,Cyrus,2010,91,Comedy|Drama|Romance,5.9,432,https://www.themoviedb.org/movie/39053
14248,Igor,2008,87,Animation|Comedy|Family|Fantasy|Horror,5.942,576,https://www.themoviedb.org/movie/14248
9448,The Big Hit,1998,91,Action|Adventure|Comedy|Crime|Thriller,5.942,453,https://www.themoviedb.org/movie/9448
395,AVP: Alien vs. Predator,2004,101,Adventure|Science Fiction|Action|Horror,5.9,4740,https://www.themoviedb.org/movie/395
640923,Kidz,2020,98,Comedy,5.941,382,https://www.themoviedb.org/movie/640923
11011,Ri¢hie Ri¢h,1994,95,Comedy|Family,5.94,2349,https://www.themoviedb.org/movie/11011
1125311,Imaginary,2024,104,Horror|Mystery|Thriller,5.9,639,https://www.themoviedb.org/movie/1125311
523936,Meander,2021,91,Horror|Science Fiction|Drama|Thriller,5.94,443,https://www.themoviedb.org/movie/523936
19384,Dark Angel,1990,91,Action|Thriller|Science Fiction|Crime|Horror,5.9,340,https://www.themoviedb.org/movie/19384
12540,Bring It On Again,2004,90,Comedy,5.9,444,https://www.themoviedb.org/movie/12540
460019,Truth or Dare,2018,101,Thriller|Horror,5.939,4145,https://www.themoviedb.org/movie/460019
448194,Pyewacket,2017,88,Thriller|Horror|Drama,5.939,330,https://www.themoviedb.org/movie/448194
299687,The 5th Wave,2016,112,Science Fiction|Adventure|Action,5.938,5890,https://www.themoviedb.org/movie/299687
172533,Drinking Buddies,2013,90,Romance|Drama|Comedy,5.941,842,https://www.themoviedb.org/movie/172533
11429,Beyond Re-Animator,2003,95,Horror|Science Fiction|Comedy,5.9,385,https://www.themoviedb.org/movie/11429
785752,Intrusion,2021,93,Drama|Mystery|Thriller,5.938,728,https://www.themoviedb.org/movie/785752
565413,The King's Musketeers,2018,109,Adventure|Comedy,5.9,398,https://www.themoviedb.org/movie/565413
563907,All You Need is Crime,2019,98,Comedy,5.9,467,https://www.themoviedb.org/movie/563907
526896,Morbius,2022,105,Action|Science Fiction|Fantasy,5.939,4632,https://www.themoviedb.org/movie/526896
169219,The Dyatlov Pass Incident,2013,100,Thriller|Mystery,5.939,700,https://www.themoviedb.org/movie/169219
13018,Deception,2008,107,Thriller|Mystery,5.941,692,https://www.themoviedb.org/movie/13018
2636,The Specialist,1994,110,Action|Thriller,5.938,1375,https://www.themoviedb.org/movie/2636
586592,Come to Daddy,2019,96,Comedy|Horror|Mystery|Thriller,5.937,568,https://www.themoviedb.org/movie/586592
487083,Paradise Hills,2019,95,Fantasy|Science Fiction|Thriller,5.937,570,https://www.themoviedb.org/movie/487083
112200,Thanks for Sharing,2013,112,Comedy|Drama,5.9,572,https://www.themoviedb.org/movie/112200
11674,101 Dalmatians,1996,103,Family|Comedy,5.937,3516,https://www.themoviedb.org/movie/11674
10145,The Forgotten,2004,91,Thriller|Mystery|Science Fiction|Drama,5.936,1188,https://www.themoviedb.org/movie/10145
9597,Vidocq,2001,98,Fantasy|Action|Thriller|Crime|Science Fiction|Mystery,5.9,553,https://www.themoviedb.org/movie/9597
584962,Between Two Ferns: The Movie,2019,82,Comedy,5.935,912,https://www.themoviedb.org/movie/584962
136835,No Good Deed,2014,84,Crime|Thriller,5.9,650,https://www.themoviedb.org/movie/136835
81796,Lockout,2012,95,Action|Thriller|Science Fiction,5.935,1911,https://www.themoviedb.org/movie/81796
12658,Someone Like You...,2001,97,Comedy|Romance,5.935,398,https://www.themoviedb.org/movie/12658
452507,1922,2017,102,Horror|Crime|Drama,5.935,2835,https://www.themoviedb.org/movie/452507
291870,Dirty Grandpa,2016,102,Comedy,5.935,4497,https://www.themoviedb.org/movie/291870
99579,"Farewell, My Queen",2012,100,Drama|History,5.9,319,https://www.themoviedb.org/movie/99579
