name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
A Charlie Brown Thanksgiving,a-charlie-brown-thanksgiving,43857,1973,,0,7,0,0,2023-11-14
The Killer,the-killer-2023,717654,2023,,0,8,0,1,2023-11-10
Lost in Translation,lost-in-translation,51898,2003,,0,8,1,0,2023-11-08
The Girl with the Dragon Tattoo,the-girl-with-the-dragon-tattoo-2011,1086,2011,,0,9,0,0,2023-10-31
Five Nights at Freddy's,five-nights-at-freddys,436948,2023,,0,2,0,1,2023-10-28
Jennifer's Body,jennifers-body,39305,2009,,0,7,0,1,2023-10-26
Spotlight,spotlight,241430,2015,,0,9,0,0,2023-10-26
No Hard Feelings,no-hard-feelings-2023,795897,2023,,0,6,0,1,2023-10-24
"Girl, Interrupted",girl-interrupted,49671,1999,,0,8,0,1,2023-10-21
Song to Song,song-to-song,258736,2017,,0,5,0,1,2023-10-18
McCabe & Mrs. Miller,mccabe-mrs-miller,33211,1971,,0,9,1,1,2023-10-15
Sin City: A Dame to Kill For,sin-city-a-dame-to-kill-for,51863,2014,,0,6,0,0,2023-10-14
BlacKkKlansman,blackkklansman,418135,2018,,0,8,0,0,2023-10-12
Chinatown,chinatown,51323,1974,,0,10,1,0,2023-10-10
Gen V - Prime Premiere,gen-v-prime-premiere,1068215,2023,,0,7,0,1,2023-10-09
Dumb Money,dumb-money,710073,2023,,0,7,0,1,2023-10-07
Superbad,superbad,47776,2007,,0,9,1,1,2023-10-05
The Boondock Saints,the-boondock-saints,47768,1999,,1,10,1,1,2023-10-03
Adventure Time: Fionna & Cake,adventure-time-fionna-cake-2023,1071286,2023,,0,6,0,0,2023-10-02
The Silence of the Lambs,the-silence-of-the-lambs,51782,1991,,0,8,1,0,2023-10-02
Talk to Me,talk-to-me-2022,908144,2022,,0,7,0,1,2023-09-30
The Rocker,the-rocker,46465,2008,,0,5,0,1,2023-09-24
The Hunger Games,the-hunger-games,59281,2012,,0,6,0,1,2023-09-24
Blue Velvet,blue-velvet,51359,1986,,0,7,0,0,2023-09-17
Eraserhead,eraserhead,51184,1977,,0,2,0,1,2023-09-17
The Banshees of Inisherin,the-banshees-of-inisherin,598882,2022,,0,9,1,1,2023-09-15
Zodiac,zodiac,50659,2007,,0,8,0,0,2023-09-14
Shane Gillis: Beautiful Dogs,shane-gillis-beautiful-dogs,1056116,2023,,0,9,0,0,2023-09-14
Juno,juno,48051,2007,,1,9,0,0,2023-09-11
Dredd,dredd,16527,2012,,0,8,0,0,2023-09-10
A Bronx Tale,a-bronx-tale,50932,1993,,0,7,0,0,2023-09-05
Arrival,arrival-2016,257426,2016,,0,8,0,0,2023-09-02
Funny People,funny-people,38772,2009,,0,6,0,1,2023-08-31
The Adults,the-adults,971388,2023,,0,8,0,0,2023-08-14
The Ballad of Buster Scruggs,the-ballad-of-buster-scruggs,467061,2018,,0,7,0,0,2023-08-12
3:10 to Yuma,310-to-yuma-2007,48918,2007,,0,7,0,0,2023-08-10
Teenage Mutant Ninja Turtles: Mutant Mayhem,teenage-mutant-ninja-turtles-mutant-mayhem,542005,2023,,0,6,0,0,2023-08-09
"Lock, Stock and Two Smoking Barrels",lock-stock-and-two-smoking-barrels,51950,1998,,0,8,0,0,2023-08-04
Pulp Fiction,pulp-fiction,51444,1994,,0,9,1,0,2023-08-03
The Mule,the-mule-2018,434068,2018,,0,7,0,0,2023-08-01
Sin City,sin-city,51865,2005,,0,8,0,0,2023-08-01
The Watcher,the-watcher-2022,933442,2022,,0,4,0,0,2023-07-31
Death Proof,death-proof,50621,2007,,0,8,0,0,2023-07-30
The Nice Guys,the-nice-guys,216301,2016,,0,9,1,0,2023-07-29
They Cloned Tyrone,they-cloned-tyrone,658906,2023,,0,6,0,0,2023-07-24
Oppenheimer,oppenheimer-2023,784328,2023,,0,10,0,0,2023-07-21
Barbie,barbie,277064,2023,,0,7,0,0,2023-07-21
Bird Box Barcelona,bird-box-barcelona,722510,2023,,0,5,0,0,2023-07-16
Vivarium,vivarium,390139,2019,,0,5,0,0,2023-07-16
Impractical Jokers: The Movie,impractical-jokers-the-movie,495403,2020,,0,6,0,0,2023-07-15
"Crazy, Stupid, Love.",crazy-stupid-love,15051,2011,,0,7,0,0,2023-07-14
Sicario,sicario-2015,197628,2015,,0,9,1,0,2023-07-12
Nocturnal Animals,nocturnal-animals,270106,2016,,0,8,0,0,2023-07-11
Lady Bird,lady-bird,326279,2017,,0,7,0,0,2023-07-07
Hell or High Water,hell-or-high-water,268192,2016,,0,7,0,0,2023-07-06
Gone Girl,gone-girl,149857,2014,,0,9,0,0,2023-06-29
Gone Baby Gone,gone-baby-gone,49148,2007,,0,8,0,0,2023-06-28
Luther: The Fallen Sun,luther-the-fallen-sun,644819,2023,,0,5,0,0,2023-06-26
Me and Earl and the Dying Girl,me-and-earl-and-the-dying-girl,235480,2015,,0,8,0,0,2023-06-24
L.A. Confidential,la-confidential,50509,1997,,0,8,1,0,2023-06-23
White Men Can't Jump,white-men-cant-jump,46491,1992,,0,7,0,0,2023-06-20
Asteroid City,asteroid-city,668555,2023,,0,7,0,0,2023-06-18
Reality,reality-2023,887491,2023,,0,8,0,0,2023-06-14
Vengeance,vengeance-2022,607401,2022,,0,6,0,0,2023-06-13
The Fabelmans,the-fabelmans,721288,2022,,0,9,1,0,2023-06-08
Little Miss Sunshine,little-miss-sunshine,51379,2006,,0,10,1,0,2023-06-07
Guy Ritchie's The Covenant,guy-ritchies-the-covenant,793865,2023,,0,6,0,0,2023-06-06
Spider-Man: Across the Spider-Verse,spider-man-across-the-spider-verse,497631,2023,,0,8,0,0,2023-06-04
Missing,missing-2023,688088,2023,,0,5,0,1,2023-05-30
Sisu,sisu-2022,755504,2022,,0,7,0,0,2023-05-28
The Green Knight,the-green-knight,488399,2021,,0,7,0,0,2023-05-28
Juno,juno,48051,2007,,0,8,0,0,2023-05-27
BlackBerry,blackberry-2023,915230,2023,,0,9,0,0,2023-05-21
Air,air-2023,868491,2023,,0,8,0,0,2023-05-16
Easy A,easy-a,26770,2010,,0,6,0,0,2023-05-13
The Raid 2,the-raid-2,130913,2014,,0,8,0,0,2023-05-06
Horrible Bosses,horrible-bosses,14285,2011,,0,7,0,0,2023-04-30
John Mulaney: Baby J,john-mulaney-baby-j,985444,2023,,0,8,0,0,2023-04-30
The Comedy,the-comedy,70654,2012,,0,5,0,0,2023-04-26
Bone Tomahawk,bone-tomahawk,222298,2015,,0,5,0,0,2023-04-25
BEEF,beef-2023,996925,2023,,0,9,0,0,2023-04-19
Moneyball,moneyball,6286,2011,,0,7,0,0,2023-04-14
Green Room,green-room,241052,2015,,0,8,1,0,2023-04-09
Napoleon Dynamite,napoleon-dynamite,47867,2004,,0,8,0,0,2023-04-08
The Long Dumb Road,the-long-dumb-road,388999,2018,,0,7,0,0,2023-04-07
Platoon,platoon,51360,1986,,0,7,0,0,2023-04-03
In Bruges,in-bruges,47809,2008,,0,10,1,0,2023-04-01
We're All Going to the World's Fair,were-all-going-to-the-worlds-fair,695522,2021,,0,7,1,0,2023-03-27
John Wick: Chapter 4,john-wick-chapter-4,530882,2023,,0,9,1,0,2023-03-26
Creed,creed,239260,2015,,0,7,0,0,2023-03-20
The Unbearable Weight of Massive Talent,the-unbearable-weight-of-massive-talent,574385,2022,,0,7,0,0,2023-03-14
The Hangover Part III,the-hangover-part-iii,87953,2013,,0,6,0,0,2023-03-07
All Quiet on the Western Front,all-quiet-on-the-western-front-2022,16530,2022,,0,8,0,0,2023-03-04
Half Nelson,half-nelson,47971,2006,,0,10,1,0,2023-03-01
Triangle of Sadness,triangle-of-sadness,427970,2022,,0,7,0,0,2023-02-23
The Inbetweeners Movie,the-inbetweeners-movie,59613,2011,,0,6,0,0,2023-02-21
Southpaw,southpaw-2015,234208,2015,,0,7,0,0,2023-02-16
Emily the Criminal,emily-the-criminal,777185,2022,,0,6,0,0,2023-02-13
Mysterious Skin,mysterious-skin,45537,2004,,0,9,1,1,2023-02-06
Fury,fury-2014,160497,2014,,0,8,0,0,2023-01-30
You People,you-people-2023,780321,2023,,0,4,0,1,2023-01-29
Annihilation,annihilation,227784,2018,,0,8,0,0,2023-01-29
Pearl,pearl-2022,853822,2022,,0,6,0,0,2023-01-15
The Road,the-road,38804,2009,,0,7,0,0,2023-01-15
The Menu,the-menu-2022,521323,2022,,0,7,0,0,2023-01-13
Glass Onion,glass-onion,586723,2022,,0,5,0,0,2023-01-12
Jarhead,jarhead,2693,2005,,0,8,1,0,2023-01-08
The Square,the-square-2017,335959,2017,,0,6,0,0,2023-01-02
Knives Out,knives-out-2019,475370,2019,,0,8,0,0,2022-12-31
Babylon,babylon-2022,542773,2022,,0,7,0,0,2022-12-24
mother!,mother-2017,316311,2017,,0,5,0,0,2022-12-22
War Machine,war-machine-2017,284883,2017,,0,5,0,0,2022-12-13
There Will Be Blood,there-will-be-blood,48044,2007,,0,8,0,0,2022-12-05
Bullet Train,bullet-train,641961,2022,,0,6,0,0,2022-11-16
Nope,nope,682547,2022,,0,9,1,0,2022-11-07
Falling Down,falling-down,27322,1993,,0,7,0,0,2022-10-28
Misery,misery,50846,1990,,0,8,1,0,2022-10-24
The Gentlemen,the-gentlemen,452289,2019,,0,7,0,0,2022-10-20
Behind the Mask: The Rise of Leslie Vernon,behind-the-mask-the-rise-of-leslie-vernon,45733,2006,,0,7,0,0,2022-10-18
Unforgiven,unforgiven,2685,1992,,0,8,1,0,2022-10-15
The Boondock Saints,the-boondock-saints,47768,1999,,0,10,1,0,2022-09-21
Logan,logan-2017,186549,2017,,0,9,1,0,2022-09-20
The Raid,the-raid-2011,78266,2011,,0,8,0,0,2022-09-12
Moonrise Kingdom,moonrise-kingdom,70105,2012,,0,8,1,0,2022-09-07
Ex Machina,ex-machina-2015,187986,2015,,0,10,1,0,2022-08-29
Troy,troy,51472,2004,,0,6,0,0,2022-08-27
Eternal Sunshine of the Spotless Mind,eternal-sunshine-of-the-spotless-mind,2683,2004,,0,8,0,0,2022-08-25
End of Watch,end-of-watch,63462,2012,,0,8,1,0,2022-08-24
Mandy,mandy-2018,392654,2018,,0,7,0,0,2022-08-20
Argo,argo,52501,2012,,0,8,0,0,2022-08-15
This Is the End,this-is-the-end,87873,2013,,0,7,0,0,2022-08-15
Uncharted,uncharted-2022,264328,2022,,0,3,0,0,2022-08-15
The Gray Man,the-gray-man-2022,647760,2022,,0,2,0,0,2022-07-27
Everything Everywhere All at Once,everything-everywhere-all-at-once,474474,2022,,0,9,0,0,2022-07-26
Mission: Impossible – Fallout,mission-impossible-fallout,283273,2018,,0,6,0,0,2022-07-17
Top Gun: Maverick,top-gun-maverick,293465,2022,,0,7,0,0,2022-07-10
On the Count of Three,on-the-count-of-three,695477,2021,,0,8,1,0,2022-07-07
Blue Valentine,blue-valentine,18660,2010,,0,8,0,0,2022-07-06
Spiderhead,spiderhead,542567,2022,,0,4,0,0,2022-06-23
The Perks of Being a Wallflower,the-perks-of-being-a-wallflower,71338,2012,,0,9,1,0,2022-06-18
The Big Short,the-big-short,246013,2015,,0,7,0,0,2022-06-13
Children of Men,children-of-men,46911,2006,,0,9,1,0,2022-06-12
The Art of Self-Defense,the-art-of-self-defense-2019,410958,2019,,0,8,1,0,2022-06-10
Spree,spree-2020,579023,2020,,0,6,0,0,2022-06-10
The Northman,the-northman,565852,2022,,0,8,0,0,2022-06-06
The Machinist,the-machinist,49254,2004,,0,7,0,0,2022-03-14
The Devil All the Time,the-devil-all-the-time,429945,2020,,0,6,0,0,2022-03-12
The Batman,the-batman,348914,2022,,0,10,1,0,2022-03-12
