name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Joker: Folie à Deux,joker-folie-a-deux,800858,2024,,0,3,0,1,2024-12-21
Legally Blonde,legally-blonde,47586,2001,,0,,1,1,2024-12-03
Alien,alien,51714,1979,,0,8,1,1,2024-11-29
Look Back,look-back-2024,1127669,2024,,0,10,1,1,2024-11-29
Becket,becket,42389,1964,,0,8,1,1,2024-11-23
Saw III,saw-iii,51842,2006,,0,6,0,1,2024-11-19
Magnolia,magnolia,51728,1999,,0,10,1,1,2024-11-16
Pan's Labyrinth,pans-labyrinth,51047,2006,,0,8,1,1,2024-11-15
Chasing Amy,chasing-amy,50387,1997,,0,3,0,1,2024-11-12
Secretary,secretary,45689,2002,,0,6,1,1,2024-11-07
Wishing Stairs,wishing-stairs,30534,2003,,0,7,0,1,2024-10-26
The Host,the-host,51125,2006,,0,8,1,1,2024-10-25
Puella Magi Madoka Magica the Movie Part III: Rebellion,puella-magi-madoka-magica-the-movie-part-iii-rebellion,150890,2013,,1,10,1,1,2024-10-21
Cloud,cloud-2024,1127005,2024,,0,,1,1,2024-10-20
Anora,anora,959540,2024,,0,7,1,1,2024-10-19
The Apprentice,the-apprentice-2024,1068413,2024,,0,8,0,1,2024-10-15
Revue Starlight: The Movie,revue-starlight-the-movie,571433,2021,,1,10,1,1,2024-10-08
Candyman,candyman,47071,1992,,0,7,0,1,2024-10-07
Megalopolis,megalopolis-2024,520328,2024,,0,3,0,1,2024-10-01
Chungking Express,chungking-express,45602,1994,,0,8,1,1,2024-09-30
Sleepaway Camp,sleepaway-camp,43778,1983,,0,5,1,1,2024-09-26
Women on the Verge of a Nervous Breakdown,women-on-the-verge-of-a-nervous-breakdown,49468,1988,,0,8,0,1,2024-09-23
The Substance,the-substance,838140,2024,,0,10,1,1,2024-09-22
The Doom Generation,the-doom-generation,43792,1995,,0,8,1,1,2024-09-17
Twin Peaks: Fire Walk with Me,twin-peaks-fire-walk-with-me,50682,1992,,0,9,1,1,2024-09-16
The Shining,the-shining,51432,1980,,1,9,1,1,2024-09-06
Monster,monster-2023,947030,2023,,1,10,1,1,2024-09-06
Inside Out 2,inside-out-2-2024,921578,2024,,0,6,0,1,2024-09-04
The Children's Hour,the-childrens-hour,39207,1961,,0,8,1,1,2024-09-03
Lawrence of Arabia,lawrence-of-arabia,60299,1962,,0,9,1,1,2024-08-18
Seven Samurai,seven-samurai,51716,1954,,0,9,1,1,2024-08-07
Moonage Daydream,moonage-daydream,861294,2022,,0,8,1,1,2024-08-07
Point Break,point-break,51157,1991,,0,6,1,1,2024-07-09
Kinds of Kindness,kinds-of-kindness,928261,2024,,0,7,0,1,2024-07-03
Carol,carol-2015,182142,2015,,0,9,1,1,2024-06-30
Woman in the Dunes,woman-in-the-dunes,41440,1964,,0,9,1,1,2024-06-30
The Bikeriders,the-bikeriders,908327,2023,,0,6,0,1,2024-06-25
The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,51929,2002,,0,,1,1,2024-06-09
I Saw the TV Glow,i-saw-the-tv-glow,772230,2024,,0,8,1,1,2024-06-02
Dune: Part Two,dune-part-two,617443,2024,,0,8,1,1,2024-05-31
Challengers,challengers,842301,2024,,0,8,1,1,2024-05-28
Blade,blade,27730,1998,,0,,1,1,2024-05-18
Om Shanti Om,om-shanti-om,47886,2007,,0,8,1,1,2024-04-18
Anatomy of a Fall,anatomy-of-a-fall,822093,2023,,0,9,1,1,2024-04-09
Bottoms,bottoms,731222,2023,,1,,1,1,2024-03-19
Wonka,wonka,706083,2023,,0,,0,1,2024-03-12
All of Us Strangers,all-of-us-strangers,895290,2023,,0,7,0,1,2024-03-09
May December,may-december,754441,2023,,0,9,1,1,2024-03-06
Caravaggio,caravaggio,38946,1986,,0,7,1,1,2024-03-05
Apocalypse Now,apocalypse-now,2690,1979,,0,10,1,1,2024-02-26
Breathless,breathless,51787,1960,,0,6,0,1,2024-02-15
